status_id,created_at,text,source,is_quote,is_retweet,favorite_count,retweet_count,place_url,place_name,place_full_name,place_type,country,country_code,hashtags
985914331979231232,2018-04-16T16:14:28Z,"RT @EU2018BG: #EU2018BG hosts at #AGRIFISH a debate on how to ensure fair treatment for farmers by big retailers.

#FairFoodChain #FoodWast…",Twitter Web Client,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,AGRIFISH
985914331979231232,2018-04-16T16:14:28Z,"RT @EU2018BG: #EU2018BG hosts at #AGRIFISH a debate on how to ensure fair treatment for farmers by big retailers.

#FairFoodChain #FoodWast…",Twitter Web Client,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,FairFoodChain
985913837546328065,2018-04-16T16:12:30Z,RT @Bethan_5mEvents: Join us on May 24 for croissants and conversation at the FREE Women in #Aquaculture breakfast at @aquacultureuk to dis…,Twitter for iPhone,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,Aquaculture
985912920902127622,2018-04-16T16:08:52Z,"RT @CMEMS_EU: AquaX is the italian answer to #aquaculture: the fish farmers can protect the farming sites, increase the scouting and the en…",Twitter Web Client,FALSE,TRUE,0,3,NA,NA,NA,NA,NA,NA,aquaculture
985912526549409793,2018-04-16T16:07:18Z,"Thurston County Judge blocks Cooke Aquaculture from restocking remaining Cypress Island net pens with 800,000 new juveniles. https://t.co/0zsPAaEcEQ #aquaculture #wapoli #CypressIsland #salmon",Twitter Web Client,FALSE,FALSE,1,3,NA,NA,NA,NA,NA,NA,aquaculture
985912526549409793,2018-04-16T16:07:18Z,"Thurston County Judge blocks Cooke Aquaculture from restocking remaining Cypress Island net pens with 800,000 new juveniles. https://t.co/0zsPAaEcEQ #aquaculture #wapoli #CypressIsland #salmon",Twitter Web Client,FALSE,FALSE,1,3,NA,NA,NA,NA,NA,NA,wapoli
985912526549409793,2018-04-16T16:07:18Z,"Thurston County Judge blocks Cooke Aquaculture from restocking remaining Cypress Island net pens with 800,000 new juveniles. https://t.co/0zsPAaEcEQ #aquaculture #wapoli #CypressIsland #salmon",Twitter Web Client,FALSE,FALSE,1,3,NA,NA,NA,NA,NA,NA,CypressIsland
985912526549409793,2018-04-16T16:07:18Z,"Thurston County Judge blocks Cooke Aquaculture from restocking remaining Cypress Island net pens with 800,000 new juveniles. https://t.co/0zsPAaEcEQ #aquaculture #wapoli #CypressIsland #salmon",Twitter Web Client,FALSE,FALSE,1,3,NA,NA,NA,NA,NA,NA,salmon
985912338783133696,2018-04-16T16:06:33Z,RT @Bethan_5mEvents: Join us on May 24 for croissants and conversation at the FREE Women in #Aquaculture breakfast at @aquacultureuk to dis…,Twitter Web Client,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,Aquaculture
985911942131920901,2018-04-16T16:04:59Z,"RT @Cargill: “If we’re replacing 5 or 10% of the proteins that are normally in those [fish] feeds with insect protein, that’s a lot of reso…",Twitter Web Client,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,NA
985911164436713472,2018-04-16T16:01:53Z,"RT @CMEMS_EU: AquaX is the italian answer to #aquaculture: the fish farmers can protect the farming sites, increase the scouting and the en…",Twitter Web Client,FALSE,TRUE,0,3,NA,NA,NA,NA,NA,NA,aquaculture
985911020689481732,2018-04-16T16:01:19Z,RT @UHI_Research: Fully funded PhD studentship available with @RLI_UHI and @ScotMarineInst on #metabarcoding for environmental monitoring o…,Twitter Web Client,FALSE,TRUE,0,1,NA,NA,NA,NA,NA,NA,metabarcoding
985911005581660160,2018-04-16T16:01:15Z,"RT @CMEMS_EU: AquaX is the italian answer to #aquaculture: the fish farmers can protect the farming sites, increase the scouting and the en…",Twitter for Android,FALSE,TRUE,0,3,NA,NA,NA,NA,NA,NA,aquaculture
985910456069120001,2018-04-16T15:59:04Z,"RT @Cargill: “If we’re replacing 5 or 10% of the proteins that are normally in those [fish] feeds with insect protein, that’s a lot of reso…",Twitter for Android,FALSE,TRUE,0,2,NA,NA,NA,NA,NA,NA,NA
985910358970945538,2018-04-16T15:58:41Z,.@AgForestryVA discusses priorities and opportunities for Virginia Aquaculture at today’s joint meeting of the VA Aquaculture Advisory Board and the VFBF Aquaculture Advisory Committee. #AFID #VAGrants  #VirginiaGrown #VirginiaAFID  #VAOysters  #Aquaculture  #VFBF https://t.co/0jPx0gQzS8,Twitter Web Client,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,AFID
985910358970945538,2018-04-16T15:58:41Z,.@AgForestryVA discusses priorities and opportunities for Virginia Aquaculture at today’s joint meeting of the VA Aquaculture Advisory Board and the VFBF Aquaculture Advisory Committee. #AFID #VAGrants  #VirginiaGrown #VirginiaAFID  #VAOysters  #Aquaculture  #VFBF https://t.co/0jPx0gQzS8,Twitter Web Client,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,VAGrants
985910358970945538,2018-04-16T15:58:41Z,.@AgForestryVA discusses priorities and opportunities for Virginia Aquaculture at today’s joint meeting of the VA Aquaculture Advisory Board and the VFBF Aquaculture Advisory Committee. #AFID #VAGrants  #VirginiaGrown #VirginiaAFID  #VAOysters  #Aquaculture  #VFBF https://t.co/0jPx0gQzS8,Twitter Web Client,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,VirginiaGrown
985910358970945538,2018-04-16T15:58:41Z,.@AgForestryVA discusses priorities and opportunities for Virginia Aquaculture at today’s joint meeting of the VA Aquaculture Advisory Board and the VFBF Aquaculture Advisory Committee. #AFID #VAGrants  #VirginiaGrown #VirginiaAFID  #VAOysters  #Aquaculture  #VFBF https://t.co/0jPx0gQzS8,Twitter Web Client,FALSE,FALSE,1,0,NA,NA,NA,NA,NA,NA,VirginiaAFID
